genome,taxon_group,tool,entity_type,class_norm,comparison_applicability,shared_count,unshared_count,not_applicable_count,total
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,terpene,applicable,0,8,0,8
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,BGC,Hybrid,not_applicable_taxon,0,0,2,2
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,BGC,NRPS,not_applicable_taxon,0,0,1,1
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,BGC,RiPP,not_applicable_taxon,0,0,2,2
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,BGC,terpene,not_applicable_taxon,0,0,3,3
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,GCF,NRPS,applicable,0,1,0,1
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,GCF,NRPS;PKS,applicable,0,1,0,1
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,GCF,PKS;terpene,applicable,0,1,0,1
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,GCF,RiPP,applicable,0,2,0,2
Acidobacterium_capsulatum_ATCC_51196,bacteria,antismash,GCF,terpene,applicable,0,3,0,3
Akkermansia_muciniphila_JCM_30893,bacteria,antismash,BGC,PKS,not_applicable_taxon,0,0,1,1
Akkermansia_muciniphila_JCM_30893,bacteria,antismash,BGC,terpene,not_applicable_taxon,0,0,3,3
Akkermansia_muciniphila_JCM_30893,bacteria,antismash,GCF,PKS,applicable,0,1,0,1
Akkermansia_muciniphila_JCM_30893,bacteria,antismash,GCF,terpene,applicable,0,3,0,3
Aquifex_aeolicus_VF5,bacteria,antismash,BGC,NRPS,not_applicable_taxon,0,0,1,1
Aquifex_aeolicus_VF5,bacteria,antismash,BGC,RiPP,not_applicable_taxon,0,0,1,1
Aquifex_aeolicus_VF5,bacteria,antismash,BGC,other,not_applicable_taxon,0,0,2,2
Aquifex_aeolicus_VF5,bacteria,antismash,BGC,terpene,not_applicable_taxon,0,0,1,1
Aquifex_aeolicus_VF5,bacteria,antismash,GCF,NRPS,applicable,0,1,0,1
Aquifex_aeolicus_VF5,bacteria,antismash,GCF,RiPP,applicable,0,1,0,1
Aquifex_aeolicus_VF5,bacteria,antismash,GCF,other,applicable,0,2,0,2
Aquifex_aeolicus_VF5,bacteria,antismash,GCF,terpene,applicable,0,1,0,1
Bacillus_subtilis_168,bacteria,antismash,BGC,Hybrid,not_applicable_taxon,0,0,2,2
Bacillus_subtilis_168,bacteria,antismash,BGC,NRPS,not_applicable_taxon,0,0,3,3
Bacillus_subtilis_168,bacteria,antismash,BGC,PKS,not_applicable_taxon,0,0,1,1
Bacillus_subtilis_168,bacteria,antismash,BGC,RiPP,not_applicable_taxon,0,0,5,5
Bacillus_subtilis_168,bacteria,antismash,BGC,other,not_applicable_taxon,0,0,1,1
Bacillus_subtilis_168,bacteria,antismash,BGC,terpene,not_applicable_taxon,0,0,3,3
Bacillus_subtilis_168,bacteria,antismash,GCF,NRPS,applicable,0,3,0,3
Bacillus_subtilis_168,bacteria,antismash,GCF,NRPS;PKS,applicable,0,1,0,1
Bacillus_subtilis_168,bacteria,antismash,GCF,NRPS;terpene,applicable,0,1,0,1
Bacillus_subtilis_168,bacteria,antismash,GCF,PKS,applicable,0,1,0,1
Bacillus_subtilis_168,bacteria,antismash,GCF,RiPP,applicable,0,5,0,5
Bacillus_subtilis_168,bacteria,antismash,GCF,other,applicable,0,1,0,1
Bacillus_subtilis_168,bacteria,antismash,GCF,terpene,applicable,0,3,0,3
Bacteroides_thetaiotaomicron_DSM_2079,bacteria,antismash,BGC,RiPP,not_applicable_taxon,0,0,2,2
Bacteroides_thetaiotaomicron_DSM_2079,bacteria,antismash,BGC,other,not_applicable_taxon,0,0,1,1
Bacteroides_thetaiotaomicron_DSM_2079,bacteria,antismash,BGC,terpene,not_applicable_taxon,0,0,1,1
Bacteroides_thetaiotaomicron_DSM_2079,bacteria,antismash,GCF,RiPP,applicable,0,2,0,2
Bacteroides_thetaiotaomicron_DSM_2079,bacteria,antismash,GCF,other,applicable,0,1,0,1
Bacteroides_thetaiotaomicron_DSM_2079,bacteria,antismash,GCF,terpene,applicable,0,1,0,1
Chlamydia_trachomatis_D_UW-3_CX,bacteria,antismash,BGC,terpene,not_applicable_taxon,0,0,1,1
Chlamydia_trachomatis_D_UW-3_CX,bacteria,antismash,GCF,terpene,applicable,0,1,0,1
