genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Colletotrichum_higginsianum_IMI_349063,funbgcex,BGC,RiPP,1,8,9
Colletotrichum_higginsianum_IMI_349063,funbgcex,BGC,other,6,11,17
Colletotrichum_higginsianum_IMI_349063,funbgcex,BGC,terpene,15,0,15
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,NRPS,1,14,15
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,NRPS;PKS,0,9,9
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,NRPS;PKS;terpene,0,1,1
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,NRPS;terpene,0,1,1
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,PKS,2,24,26
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,PKS;terpene,0,3,3
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,RiPP,0,1,1
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,other,0,7,7
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,terpene,1,20,21
Colletotrichum_higginsianum_IMI_349063,antismash,GCF,terpene;RiPP,0,1,1
Coprinopsis_cinerea_okayama7_130,antismash,BGC,NRPS,2,0,2
Coprinopsis_cinerea_okayama7_130,antismash,BGC,PKS,2,0,2
Coprinopsis_cinerea_okayama7_130,antismash,BGC,other,2,0,2
Coprinopsis_cinerea_okayama7_130,antismash,BGC,terpene,11,3,14
Coprinopsis_cinerea_okayama7_130,funbgcex,BGC,NRPS,2,1,3
Coprinopsis_cinerea_okayama7_130,funbgcex,BGC,PKS,2,0,2
Coprinopsis_cinerea_okayama7_130,funbgcex,BGC,other,2,7,9
Coprinopsis_cinerea_okayama7_130,funbgcex,BGC,terpene,11,1,12
Coprinopsis_cinerea_okayama7_130,antismash,GCF,NRPS,0,2,2
Coprinopsis_cinerea_okayama7_130,antismash,GCF,PKS,0,2,2
Coprinopsis_cinerea_okayama7_130,antismash,GCF,other,0,2,2
Coprinopsis_cinerea_okayama7_130,antismash,GCF,terpene,2,12,14
Cordyceps_militaris_CM01,antismash,BGC,Hybrid,6,0,6
Cordyceps_militaris_CM01,antismash,BGC,NRPS,12,0,12
Cordyceps_militaris_CM01,antismash,BGC,PKS,5,0,5
Cordyceps_militaris_CM01,antismash,BGC,RiPP,1,0,1
Cordyceps_militaris_CM01,antismash,BGC,other,1,0,1
Cordyceps_militaris_CM01,antismash,BGC,terpene,4,4,8
Cordyceps_militaris_CM01,funbgcex,BGC,Hybrid,6,1,7
Cordyceps_militaris_CM01,funbgcex,BGC,NRPS,12,1,13
Cordyceps_militaris_CM01,funbgcex,BGC,PKS,5,1,6
Cordyceps_militaris_CM01,funbgcex,BGC,RiPP,1,1,2
Cordyceps_militaris_CM01,funbgcex,BGC,other,1,6,7
Cordyceps_militaris_CM01,funbgcex,BGC,terpene,4,1,5
Cordyceps_militaris_CM01,antismash,GCF,NRPS,3,9,12
Cordyceps_militaris_CM01,antismash,GCF,NRPS;PKS,2,4,6
Cordyceps_militaris_CM01,antismash,GCF,PKS,1,4,5
Cordyceps_militaris_CM01,antismash,GCF,RiPP,0,1,1
Cordyceps_militaris_CM01,antismash,GCF,other,0,1,1
Cordyceps_militaris_CM01,antismash,GCF,terpene,2,6,8
Cryptococcus_neoformans_H99,antismash,BGC,NRPS,1,0,1
Cryptococcus_neoformans_H99,antismash,BGC,other,0,0,0
Cryptococcus_neoformans_H99,antismash,BGC,terpene,1,3,4
Cryptococcus_neoformans_H99,funbgcex,BGC,NRPS,1,1,2
Cryptococcus_neoformans_H99,funbgcex,BGC,other,0,4,4
Cryptococcus_neoformans_H99,funbgcex,BGC,terpene,1,0,1
